_date,total_clones,unique_clones
2022-03-16,8,7
2022-03-20,1,1
2022-03-21,4,4
2022-03-25,1,1
2022-03-27,1,1
2022-04-02,2,1
2022-04-03,1,1
2022-04-04,2,2
2022-04-10,1,1
2022-04-11,1,1
2022-04-17,1,1
2022-04-18,2,2
2022-04-24,1,1
2022-04-25,2,2
2022-04-29,2,1
2022-05-01,1,1
2022-05-02,2,2
2022-05-07,4,2
2022-05-08,1,1
2022-05-09,3,2
2022-05-14,2,1
2022-05-15,3,2
2022-05-16,1,1
2022-05-22,2,2
2022-05-23,3,3
2022-05-24,2,1
2022-05-26,2,1
2022-05-29,1,1
2022-05-30,2,2
2022-06-05,1,1
2022-06-06,4,3
2022-06-12,1,1
2022-06-13,1,1
2022-06-15,6,3
2022-06-19,1,1
2022-06-20,2,2
2022-06-26,1,1
2022-06-27,2,2
2022-06-29,2,1
2022-07-03,3,2
2022-07-04,1,1
2022-07-06,2,1
2022-07-09,2,1
2022-07-10,1,1
2022-07-11,2,2
2022-07-14,2,1
2022-07-17,1,1
2022-07-18,2,1
2022-07-24,2,2
2022-07-25,3,3
2022-07-31,1,1
2022-08-01,2,2
2022-08-02,1,1
2022-08-07,1,1
2022-08-08,2,2
2022-08-10,1,1
2022-08-14,1,1
2022-08-15,3,3
2022-08-21,1,1
2022-08-22,1,1
2022-08-28,1,1
2022-08-29,1,1
2022-09-04,1,1
2022-09-05,1,1
2022-09-11,1,1
2022-09-13,1,1
2022-09-19,1,1
2022-09-26,1,1
2022-10-03,2,2
2022-10-10,1,1
2022-10-17,1,1
2022-10-21,1,1
2022-10-22,1,1
2022-10-24,2,2
2022-10-30,1,1
2022-11-06,1,1
